id_circuito_elec;vi_cal_cons_Satisfactoria;vi_cal_cons_Básico;vi_cal_cons_Insuficiente;vi_cal_servbas_Satisfactorio;vi_cal_servbas_Básico;vi_cal_servbas_Insuficiente;vi_cal_mat_Calidad_1;vi_cal_mat_Calidad_2;vi_cal_mat_Calidad_3;vi_cal_mat_Calidad_4;vi_tipo_Particular;vi_tipo_Colectiva;vi_nho_Viviendas_con_un_hogar;vi_nho_Viviendas_con_dos_y_más_hogares;vi_urban_Urbano;vi_urban_Rural_agrupado;vi_urban_Rural_disperso;vi_tipo_part_Casa;vi_tipo_part_Rancho;vi_tipo_part_Casilla;vi_tipo_part_Departamento;vi_tipo_part_Pieza_en_inquilinato;vi_tipo_part_Pieza_en_hotel_familiar_o_pensión;vi_tipo_part_Local_no_construido_para_habitación;vi_tipo_part_Vivienda_móvil;vi_tipo_part_Persona/s_viviendo_en_la_calle;vi_tipo_ocupa_Con_personas_presentes;vi_tipo_ocupa_Con_todas_las_personas_temporalmente_ausentes;vi_tipo_ocupa_En_alquiler_o_venta;vi_tipo_ocupa_En_construcción;vi_tipo_ocupa_Se_usa_como_comercio,_oficina_o_consultorio;vi_tipo_ocupa_Se_usa_para_vacaciones,_fin_de_semana_u_otro_uso_temporal;vi_tipo_ocupa_Por_otra_razón;ho_nbi_Hogares_sin_NBI;ho_nbi_Hogares_con_NBI;ho_suelo_Cerámica,_baldosa,_mosaico,_mármol,_madera_o_alfombrado;ho_suelo_Cemento_o_ladrillo_fijo;ho_suelo_Tierra_o_ladrillo_suelto;ho_suelo_Otro;ho_techo_Cubierta_asfáltica_o_membrana;ho_techo_Baldosa_o_losa_(sin_cubierta);ho_techo_Pizarra_o_teja;ho_techo_Chapa_de_metal_(sin_cubierta);ho_techo_Chapa_fibrocemento_o_plástico;ho_techo_Chapa_de_cartón;ho_techo_Caña,_palma,_tabla_o_paja_con_o_sin_barro;ho_techo_Otro;ho_rev_int_Sí;ho_rev_int_No;ho_agua_Por_cañeria_dentro_de_la_vivienda;ho_agua_Fuera_de_la_vivienda_pero_dentro_del_terreno;ho_agua_Fuera_del_terreno;ho_agua_beber_Red_pública;ho_agua_beber_Perforación_con_bomba_a_motor;ho_agua_beber_Perforación_con_bomba_manual;ho_agua_beber_Pozo;ho_agua_beber_Transporte_por_cisterna;ho_agua_beber_Agua_de_lluvia,_río,_canal,_arroyo_o_acequia;ho_aseo_Sí;ho_aseo_No;ho_cadena_Sí;ho_cadena_No;ho_desague_A_red_pública_(cloaca);ho_desague_A_cámara_séptica_y_pozo_ciego;ho_desague_Sólo_a_pozo_ciego;ho_desague_A_hoyo,_excavación_en_la_tierra,_etc.;ho_combus_Usado_sólo_por_este_hogar;ho_combus_Compartido_con_otros_hogares;ho_refri_Gas_de_red;ho_refri_Gas_a_granel_(zeppelin);ho_refri_Gas_en_tubo;ho_refri_Gas_en_garrafa;ho_refri_Electricidad;ho_refri_Leña_o_carbón;ho_refri_Otro;ho_compu_Sí;ho_compu_No;ho_celu_Sí;ho_celu_No;ho_fijo_Sí;ho_fijo_No;ho_hacinam_Sí;ho_hacinam_No;ho_nhogar_Hasta___0.50_personas_por_cuarto;ho_nhogar_0.51__-__0.99__personas_por_cuarto;ho_nhogar_1.00__-__1.49__personas_por_cuarto;ho_nhogar_1.50__-__1.99__personas_por_cuarto;ho_nhogar_2.00__-__3.00__personas_por_cuarto;ho_nhogar_Más_de__3.00_personas_por_cuarto;ho_prop_Propietario_de_la_vivienda_y_del_terreno;ho_prop_Propietario_sólo_de_la_vivienda;ho_prop_Inquilino;ho_prop_Ocupante_por_préstamo;ho_prop_Ocupante_por_trabajo;ho_prop_Otra_situación;ho_npers_1;ho_npers_2;ho_npers_3;ho_npers_4;ho_npers_5;ho_npers_6;ho_npers_7;ho_npers_8__y_más;per_siteco_Ocupado;per_siteco_Desocupado;per_siteco_Inactivo;per_edad_gru_0_-_14;per_edad_gru_15_-_64;per_edad_gru_65_y_más;per_edad_quin_0-4;per_edad_quin_5-9;per_edad_quin_10-14;per_edad_quin_15-19;per_edad_quin_20-24;per_edad_quin_25-29;per_edad_quin_30-34;per_edad_quin_35-39;per_edad_quin_40-44;per_edad_quin__45-49;per_edad_quin__50-54;per_edad_quin__55-59;per_edad_quin__60-64;per_edad_quin__65-69;per_edad_quin__70-74;per_edad_quin__75-79;per_edad_quin__80-84;per_edad_quin__85-89;per_edad_quin__90-94;per_edad_quin__95_y_más;per_rela_jefe_Jefe(a);per_rela_jefe_Cónyuge_o_pareja;per_rela_jefe_Hijo(a)_/_Hijastro(a);per_rela_jefe_Yerno_/_Nuera;per_rela_jefe_Nieto(a);per_rela_jefe_Padre_/_Madre_/_Suegro(a);per_rela_jefe_Otros_familiares;per_rela_jefe_Otros_no_familiares;per_rela_jefe_Servicio_doméstico_y_sus_familiares;per_sexo_Varón;per_sexo_Mujer;per_inmig_Argentina;per_inmig_Otro_país;per_leer_Sí;per_leer_No;per_escuela_Asiste;per_escuela_Asistió;per_escuela_Nunca_asistió;per_educa_Inicial_(jardín,_preescolar);per_educa_Primario;per_educa_EGB;per_educa_Secundario;per_educa_Polimodal;per_educa_Superior_no_universitario;per_educa_Universitario;per_educa_Post_universitario;per_educa_Educación_especial;per_educa_completo_Sí;per_educa_completo_No;per_compu_Sí;per_compu_No;paso19_blanco;paso19_validos;paso19_cand_FdT;paso19_cand_JxC;paso19_cand_Otros;pres15_blanco;pres15_validos;pres15_cand_Cam;pres15_cand_FPV;pres15_cand_Otros;pres15_cand_UNA;paso15_blanco;paso15_validos;paso15_cand_Cam;paso15_cand_FPV;paso15_cand_Otros;paso15_cand_UNA
01001000001; 86,786587;10,037753; 3,1756607; 99,26715523; 0,22207417;  0,5107706; 88,80746;10,104375; 0,93271153; 0,155451921;135,8650; 0,199866755; 97,53498; 2,4650233;136,0648457;  0,00000000;0,000000e+00; 11,570064; 0,111037086;  0,02220742;118,40994892; 2,598267821; 2,753719742;0,28869642; 0,000000000;0,088829669;100; 15,2787031; 7,9946702; 0,46635576;  3,28669776;  0,84388186;  7,905841; 92,65114; 7,3274941; 98,03461; 1,4740440; 0,085451827;0,38453322;33,4116642;62,7002777; 0,5127110;  1,73039949; 0,27771844;0,000000000;0,000000000; 1,32450331; 90,79257; 9,2074343; 96,68874; 3,24716941; 0,06408887; 99,7436445;  0,23499252; 0,000000000; 0,000000000; 0,021362957; 0,000000000; 99,63683; 0,34180731; 99,33775; 0,29908139; 99,2736595; 0,29908139; 0,042725913; 0,042725913; 93,54839; 6,10980560;95,4496902; 0,000000000;4,272591e-02;  3,35398419; 1,068147832; 0,042725913;0,042725913; 97,45781; 2,5208289;67,186499;32,81350; 84,66140;15,3172399;83,0805383; 16,919462;35,782952;14,270455;32,66396; 5,789361; 9,6560564; 1,81585131;46,720786; 9,52787866;36,0393078; 3,6744285; 2,3712882; 1,6663106;38,068789;30,890835;15,979492; 9,121982; 3,823969; 1,5381329; 0,34180731;0,23499252;59,96330;2,5306674;22,476577;14,527190;67,13996;18,342509; 0; 5,273834; 4,839177; 4,414179; 4,771564; 7,060755; 8,712450; 9,214720; 7,543707; 6,345987; 6,046557; 5,940307; 5,795422; 5,698831; 5,1192891; 3,7766831;3,7960012;2,95566502;1,82555781;0,724427702;45,25258;18,690235;24,46634;0,4443157; 1,7096494;1,7386265; 3,0136192; 2,8397566;0,222157829;46,45996;53,54004; 87,08587;12,91413117;93,74094; 2,965324;25,86690;69,93142; 0,91760842; 2,9653241;19,433980; 0,36704337;32,261180; 0,36704337;10,7215300;26,4271226; 2,97498310;0,27045301;50,61335;41,93953;70,99391;24,089636; 215;  7087;42,359249; 37,208974;17,398053;  99;  7648; 40,363494;31,524582;12,4084728;14,408996; 183;  7121; 39,207976;29,981744;16,9498666;11,290549
01001000002; 80,818119;12,456667; 6,7252138; 96,85694477; 0,41599260;  2,7039519; 85,76381;12,641553; 1,31730991; 0,254217703;138,9184; 0,623988907; 96,76450; 3,2354980;139,5424081;  0,00000000;0,000000e+00; 12,364225; 0,023110700;  0,06933210;115,16061937; 4,344811648; 6,517217472;0,25421770; 0,000000000;0,207996302;100; 19,0663277; 8,1349665; 0,94753871;  3,92881904;  1,34042061;  5,292350; 87,53040;12,4695998; 96,74994; 2,4541234; 0,022109220;0,75171346;51,4702631;44,1521114; 0,7517135;  2,27724961; 0,48640283;0,022109220;0,022109220; 0,79593190; 88,30422;11,6736679; 94,16317; 5,65996020; 0,15476454; 99,4693787;  0,46429361; 0,000000000; 0,000000000; 0,044218439; 0,000000000; 97,25846; 2,71943400; 96,83838; 0,44218439; 96,8162724; 0,44218439; 0,000000000; 0,000000000; 88,74641; 8,53415874;92,2617732; 0,022109220;4,421844e-02;  6,25690913; 1,282334734; 0,000000000;0,132655317; 95,37917; 4,6208269;68,074287;31,90360; 86,24807;13,7519346;80,4333407; 19,544550;35,021004;16,139730;33,34070; 4,665045; 9,1753261; 1,63608225;44,992262; 5,48308645;42,1180632; 3,3606014; 1,8129560; 2,2109220;39,840814;31,174000;15,609109; 7,804554; 3,117400; 1,7024099; 0,30952907;0,44218439;59,49867;3,1086549;20,990822;12,197770;71,06484;16,737393; 0; 4,342248; 4,164611; 3,700780; 5,013323; 9,010165;10,431264; 9,552946; 8,102240; 5,733741; 5,862035; 5,931116; 6,069279; 5,368598; 4,7962104; 3,8389421;3,0790487;2,57574262;1,72703049;0,621730978;44,71529;17,211092;21,69150;0,4539623; 1,7467680;1,6579493; 3,5034047; 3,7007796;0,207243659;47,80420;52,19580; 82,52245;17,48741735;94,79917; 2,457318;26,98115;69,49571; 0,77963091; 2,4967927;18,375604; 0,11842495;31,836574; 0,34540610;10,7964078;28,7575249; 3,54287970;0,19737491;50,33060;43,44222;69,34768;22,856015; 220;  6564;43,692870; 34,643510;18,312005; 107;  7045; 39,971611;32,207239;12,5762952;13,726047; 155;  6655; 38,181818;31,104433;16,9947408;11,389932
01001000003; 57,719715;23,119557;19,0815519; 61,44101346; 3,95882819; 34,6001584; 58,43230;25,890736;11,87648456; 3,721298496;199,0499; 0,237529691; 93,74505; 6,2549485;199,3665875;  0,00000000;0,000000e+00; 46,159937; 0,791765637;  2,92953286;144,33887569; 4,433887569; 0,079176564;0,07917656; 0,000000000;0,316706255;100; 32,1456849; 8,3927158; 0,55423595; 29,53285827;  3,32541568; 24,861441; 86,75400;13,2459971; 69,65066;28,0203785; 1,310043668;1,01892285;32,2416303;39,6652111; 2,0378457; 19,94177584; 2,18340611;0,655021834;0,873362445; 2,40174672; 62,44541;37,5545852; 92,06696; 5,67685590; 2,25618632; 94,6870451;  4,22125182; 0,145560408; 0,363901019; 0,436681223; 0,218340611; 97,37991; 2,62008734; 83,40611;13,97379913; 58,6608443; 5,09461426;32,096069869; 1,528384279; 84,78894;12,59097525;48,3260553; 0,000000000;7,278020e-02; 43,66812227; 7,132459971; 0,291120815;0,509461426; 87,84571;12,0815138;63,318777;36,68122; 93,23144; 6,7685590;54,3668122; 45,633188;26,783115;17,685590;28,67540; 5,167394;16,5938865; 5,02183406;63,609898; 5,96797671;26,3464338; 2,4017467; 0,5822416; 1,0917031;25,545852;28,966521;21,251820;13,391557; 6,331878; 3,2023290; 0,87336245;0,43668122;56,32184;2,0315424;16,760225;22,346966;70,97033; 6,709436; 0; 9,970596; 6,816359; 5,560011; 5,640203; 9,382518; 9,222133; 8,366747; 9,756750; 7,645015; 5,479818; 5,720396; 5,025394; 4,758086; 3,0205827; 1,8978883;0,8821171;0,50788559;0,26730821;0,133654103;36,83507;20,716386;30,90083;0,2405774; 0,9355787;1,0425020; 3,6888532; 1,4434643;0,481154771;51,64395;48,32932; 57,84550;42,12777332;88,02459; 4,971933;24,53889;66,93397; 1,55038760; 4,8115477;17,535418; 0,56134723;32,264101; 0,18711574; 5,8807805;24,2983160; 5,80058808;0,13365410;50,12029;36,40738;64,20743;25,100241;  42;  3365;13,848440; 73,313522;11,589896;  12;  1542; 76,977951;11,219196; 3,8910506; 7,133593;   8;  1421; 74,454609; 9,641098; 6,8261787; 8,515130
01001000004; 92,391304; 6,739130; 0,8695652; 99,67391304; 0,00000000;  0,3260870; 92,71739; 6,630435; 0,32608696; 0,326086957;307,0652; 0,326086957; 98,15217; 1,8478261;307,3913043;  0,00000000;0,000000e+00; 12,934783; 0,000000000;  0,00000000;294,02173913; 0,000000000; 0,000000000;0,10869565; 0,000000000;0,000000000;100; 35,9782609;91,8478261; 1,95652174; 16,41304348; 12,82608696; 48,152174; 99,67949; 0,3205128; 99,46581; 0,3205128; 0,000000000;0,32051282;45,8333333;45,5128205; 1,7094017;  2,67094017; 0,10683761;0,000000000;0,320512821; 3,84615385; 97,11538; 2,9914530; 99,89316; 0,21367521; 0,00000000; 99,8931624;  0,10683761; 0,000000000; 0,000000000; 0,000000000; 0,000000000; 99,78632; 0,21367521; 99,67949; 0,10683761; 99,7863248; 0,00000000; 0,000000000; 0,000000000; 99,67949; 0,10683761;55,6623932; 0,000000000;1,068376e-01;  0,10683761;44,123931624; 0,000000000;0,106837607;100,00000; 0,0000000;95,192308; 4,91453; 98,93162; 1,0683761;83,8675214; 16,239316;39,423077;26,923077;30,55556; 2,136752; 0,9615385; 0,00000000;50,000000; 8,22649573;36,5384615; 3,7393162; 1,0683761; 0,5341880;31,944444;39,957265;18,055556; 7,264957; 2,457265; 0,3205128; 0,00000000;0,00000000;58,53452;1,0165184;14,443033;11,944091;79,79670; 8,216857; 0; 5,633206; 3,049555; 3,261330; 3,049555; 8,005083;11,689962;12,071156;10,334604; 6,861499; 6,692080; 7,073274; 6,480305; 7,539178; 3,6848793; 1,9906819;1,2706480;0,80474375;0,38119441;0,042354934;39,64422;22,744600;15,75604;0,2964845; 0,2964845;0,7200339; 1,4400678; 1,2282931;0,804743753;54,84964;45,10801; 74,92588;25,03176620;94,02795; 2,033037;21,47395;74,07878; 0,55061415; 2,8801355; 6,776789; 0,25412961;23,125794; 0,33883947; 8,9792461;41,4231258;11,47818721;0,21177467;64,29479;28,12368;73,99407; 5,379077;NA;NA;NA;NA;NA;  12;  1568; 77,168367;11,670918; 3,5076531; 6,887755;  22;  1435; 74,425087;10,940767; 6,1324042; 6,968641
01001000005;  9,916655;36,784857;53,2843622; 82,14437067; 4,11075011; 13,7448792; 13,82964;52,888826;27,47563215; 5,805904789;110,1427; 0,155389179; 85,91609;14,0839102;110,2980647;  0,00000000;0,000000e+00; 77,595706; 1,327871168;  3,29142534; 13,57536375;13,264585393; 0,211894335;0,11301031; 0,014126289;0,748693318;100;  4,1248764; 1,0029665; 0,45204125;  1,73753355;  0,04237887;  2,048312; 67,86661;32,1223498; 36,80433;59,1983216; 3,169169611;0,82818021; 6,5260601;54,1961131; 0,3423145; 32,76280919; 1,96554770;0,784010601;0,607332155; 2,81581272; 27,27473;72,7252650; 78,46731;19,96466431; 1,56802120; 95,2738516;  3,69920495; 0,309187279; 0,353356890; 0,320229682; 0,044169611; 94,65548; 5,33348057; 56,15062;38,50485866; 85,7111307; 4,21819788; 4,416961131; 0,320229682; 61,08657;33,56890459; 1,9986749; 0,187720848;1,236749e+00; 87,84231449; 6,658568905; 0,331272085;1,733657244; 70,09717;29,9028269;20,748675;79,25133; 85,86572;14,1342756;21,7645760; 78,235424; 7,641343; 3,279594;28,14708; 7,906360;39,9624558;13,06316254;46,234541;18,67270318;30,4880742; 2,7716431; 0,3864841; 1,4575972;21,919170;23,155919;20,881184;15,923145; 9,121025; 5,2120141; 2,00971731;1,77782686;47,38525;3,4678064;16,661455;29,771709;68,73415; 1,497620; 0;12,099100; 9,298447; 8,374162; 8,620869;12,929567;12,126898; 9,847458; 8,023211; 5,837590; 4,624900; 3,172452; 2,234268; 1,313458; 0,7296987; 0,3961222;0,2258591;0,07296987;0,03474756;0,006949512;31,64808;16,557212;36,94360;0,4030717; 1,3516800;0,7540220; 5,7646200; 1,9006915;0,031272803;51,29435;48,70565; 46,31502;53,68497863;84,86744; 7,210118;29,08023;58,30988; 4,68397095; 4,8716078;36,102714; 0,27103096;37,374474; 0,40654644; 2,2238438; 5,4345182; 0,48646583;0,22238438;37,05827;45,23785;38,11807;49,320685; 242;  5338;67,740727; 16,841514;10,884226;  67;  4791; 18,597370;57,044458; 5,6146942;17,345022;  84;  4077; 20,505273;53,127299;10,2526367;14,054452
01001000006; 93,187239; 5,858676; 0,9689922; 99,43351222; 0,10435301;  0,4770423; 93,76863; 5,426357; 0,62611807; 0,178890877;167,2182; 0,342874180; 85,77818;14,2218247;167,5462135;  0,00000000;0,000000e+00; 12,701252; 0,029815146;  0,01490757;153,50327967; 0,402504472; 0,491949911;0,05963029; 0,000000000;0,014907573;100; 27,9516995;11,1806798; 0,68574836;  9,66010733;  4,21884317; 13,491354; 98,42723; 1,5727730; 99,07181; 0,6059043; 0,000000000;0,30939796;47,2476473;49,8259636; 0,8250612;  0,81216965; 0,27072322;0,000000000;0,000000000; 1,01843496; 95,33325; 4,6667526; 99,53590; 0,46409694; 0,00000000; 99,6261441;  0,36096429; 0,000000000; 0,000000000; 0,012891582; 0,000000000; 99,94843; 0,03867475; 99,63904; 0,30939796; 99,6132525; 0,32228954; 0,025783164; 0,000000000; 98,89132; 1,05710971;97,5119247; 0,012891582;5,156633e-02;  0,12891582; 2,178677324; 0,012891582;0,090241073; 99,35542; 0,6445791;77,658889;22,34111; 88,78432;11,2156762;95,3203558;  4,666753;46,912466;20,871471;24,15882; 3,184221; 4,4604873; 0,39963904;59,082119; 5,85277814;26,0796700; 3,0681965; 4,7183189; 1,1860255;32,048472;32,190280;16,900864;11,022302; 5,195307; 1,9208457; 0,46409694;0,24494005;57,14360;1,8931074;24,735906;12,174459;64,93568;22,895095; 0; 4,445142; 3,943102; 3,780985; 4,968100; 7,792072; 7,980337; 6,578810; 6,333020; 5,606108; 5,804832; 6,427152; 6,516055; 6,929192; 6,0297040; 4,7327685;4,2045811;3,90649514;2,42129484;1,202803054;40,56584;19,019977;25,06537;0,2614789; 1,0145382;1,2289509; 2,6409371; 2,0552243;3,116828784;43,74542;56,25981; 84,17530;15,82470453;94,81226; 2,280096;23,28208;73,43897; 0,36607049; 2,5049681;12,645121; 0,11505073;25,279782; 0,25101977; 9,6799498;40,1527037; 5,89896454;0,20395356;60,18199;33,83014;72,29892;19,788725; 210; 11055;10,402533; 76,508367;11,189507;  53; 11849; 81,804372; 8,000675; 3,8062284; 5,941430; 117; 10841; 79,632875; 7,526981; 5,5806660; 6,180242
01001000007; 91,668973; 7,306947; 1,0240797; 99,52947689; 0,08303349;  0,3874896; 92,41627; 7,334625; 0,24910047; 0,000000000;179,5461; 0,442845281; 98,53308; 1,4669250;179,9889289;  0,00000000;0,000000e+00;  6,006089; 0,000000000;  0,08303349;172,62662607; 0,055355660; 0,636590091;0,02767783; 0,000000000;0,110711320;100; 31,0268475; 8,4140603; 0,44284528; 18,79324661;  3,98560753; 16,800443; 98,93733; 1,0626703; 99,12807; 0,3814714; 0,000000000;0,49046322;52,2615804;45,7220708; 0,1907357;  0,21798365; 0,02724796;0,000000000;0,000000000; 1,58038147; 94,71390; 5,3133515; 99,34605; 0,65395095; 0,00000000; 99,7002725;  0,29972752; 0,000000000; 0,000000000; 0,000000000; 0,000000000; 99,91826; 0,08174387; 99,61853; 0,29972752; 99,7275204; 0,16348774; 0,027247956; 0,000000000; 98,91008; 1,00817439;95,5585831; 0,054495913;5,449591e-02;  0,59945504; 3,433242507; 0,000000000;0,299727520; 99,48229; 0,5177112;77,138965;22,86104; 87,60218;12,3978202;92,7520436;  7,247956;43,760218;16,866485;30,10899; 2,588556; 6,3215259; 0,35422343;52,043597; 4,08719346;35,1226158; 3,2697548; 4,3324251; 1,1444142;42,098093;31,335150;12,643052; 7,901907; 4,141689; 1,3079019; 0,27247956;0,29972752;54,36029;2,5517968;23,680206; 9,668735;69,08580;21,233759; 0; 3,523352; 2,785907; 3,371181; 5,478169; 9,504858; 9,961372; 7,339342; 5,969800; 5,513286; 5,419642; 6,461430; 6,906239; 6,519958; 5,8410394; 4,4949081;3,4882360;3,66381833;2,31768700;1,076905068;43,00597;15,603418;20,83577;0,1170549; 0,7959733;1,3110149; 3,5467634; 2,8210231;1,193959967;44,01264;55,98736; 82,93340;17,06660424;95,77432; 2,083577;26,17348;71,19279; 0,49163057; 2,0952827;10,710523; 0,08193843;22,497952; 0,14046588;11,1787428;43,8136486; 6,69554021;0,16387686;57,16961;37,93749;70,91186;16,399391; 110;  5290;16,578450; 66,899811;14,442344;  34;  5757; 73,666840;12,037520; 5,7321522; 7,972903;  60;  5800; 72,103448;10,844828; 8,3965517; 7,620690
01001000008; 88,543417;10,728291; 0,7282913; 99,32773109; 0,14005602;  0,5322129; 89,18768;10,280112; 0,50420168; 0,056022409;245,0140; 0,924369748; 98,12325; 1,8767507;245,9383754;  0,00000000;0,000000e+00; 12,521008; 0,000000000;  0,00000000;232,01680672; 0,112044818; 0,028011204;0,11204482; 0,000000000;0,224089636;100; 34,2857143;18,0112045; 0,72829132; 65,37815126;  7,25490196; 19,103641; 99,09490; 0,9051015; 98,32693; 0,7405376; 0,000000000;0,93252880;42,6494789;53,9769611; 0,4388371;  0,35655513; 0,13713659;0,000000000;0,000000000; 2,46845858; 92,86890; 7,1311026; 99,58859; 0,41140976; 0,00000000; 99,5611629;  0,32912781; 0,000000000; 0,000000000; 0,054854635; 0,027427318; 99,94515; 0,05485464; 99,67087; 0,27427318; 99,6982995; 0,16456391; 0,054854635; 0,027427318; 99,45145; 0,52111903;95,2276467; 0,027427318;1,097093e-01;  0,43883708; 3,949533736; 0,000000000;0,274273176; 99,20461; 0,7953922;74,931432;25,06857; 88,53538;11,4646188;88,3708173; 11,629183;43,883708;12,068020;31,98025; 3,483269; 8,0087767; 0,57597367;43,280307; 3,40098738;42,2929238; 4,1689523; 5,4854635; 1,3439386;50,246846;29,648930;11,601755; 5,430609; 2,139331; 0,5485464; 0,21941854;0,16456391;50,00000;1,9049753;17,066338; 7,126849;73,74496;19,128194; 0; 2,566114; 2,151502; 2,398028; 2,947109; 8,370686;10,555805;10,331690; 7,530255; 6,566562; 6,824294; 6,824294; 6,745854; 7,059615; 5,9054236; 4,5831466;3,3841327;2,65575975;1,70327208;0,672344240;40,94576;12,550426;12,70731;0,1344688; 0,6051098;1,1541909; 3,0927835; 2,7117884;1,019722098;48,05020;51,94980; 68,70238;31,29762438;96,99686; 1,210220;21,61587;76,05334; 0,53787539; 1,2550426;10,141192; 0,15688032;20,965935; 0,35858359;11,2057373;45,1815329; 8,28103989;0,13446885;61,68758;34,59211;58,28104;14,937248; 213;  5703;22,391724; 58,513063;15,360337;  51;  5644; 64,564139;17,363572; 7,2997874; 9,868887;  99;  5210; 64,606526;15,451056; 9,9040307; 8,138196
01001000009; 82,385085;12,632594; 4,9823208; 96,91417551; 0,19286403;  2,8929605; 86,11379;12,664738; 1,02860816; 0,192864031;339,5371; 1,800064288; 96,33558; 3,6644166;341,3371906;  0,00000000;0,000000e+00; 19,125683; 0,000000000;  0,03214401;312,37544198; 0,900032144; 4,628736741;1,83220829; 0,000000000;0,642880103;100; 40,4693025;16,5541626; 0,64288010;145,16232723;  5,11089682; 30,954677; 90,10922; 9,8907767; 96,78398; 2,7305825; 0,030339806;0,42475728;40,0182039;56,9174757; 0,2123786;  0,72815534; 0,36407767;0,060679612;0,000000000; 1,66868932; 90,41262; 9,5873786; 95,66141; 4,24757282; 0,09101942; 97,9975728;  1,18325243; 0,030339806; 0,060679612; 0,697815534; 0,000000000; 98,90777; 1,09223301; 97,69417; 1,21359223; 98,3616505; 0,51577670; 0,030339806; 0,000000000; 90,07888; 8,79854369;85,0728155; 0,060679612;1,152913e+00;  5,09708738; 8,222087379; 0,000000000;0,394417476; 94,75121; 5,2184466;69,569175;30,43083; 89,35073;10,6492718;73,6043689; 26,395631;33,252427; 7,554612;38,86529; 5,097087;13,3191748; 1,91140777;24,817961; 5,24878641;53,0946602; 4,5813107; 9,1322816; 3,1250000;49,211165;27,548544;12,075243; 7,069175; 3,033981; 0,9708738; 0,06067961;0,06067961;48,53336;1,8584863;12,460815; 9,527541;78,44828;12,035378; 0; 3,627407; 2,955665; 2,944469; 4,343932; 9,314823;12,774295;11,251679; 8,105687; 7,232423; 6,672638; 6,997313; 6,560681; 5,172414; 4,0752351; 2,8213166;2,2391402;1,56739812;0,99641738;0,257501120;37,11375;11,889834;13,90506;0,1567398; 0,5933721;0,9068518; 3,1683833; 2,6421854;0,223914017;51,15316;48,84684; 64,72235;35,28884908;95,74563; 1,847291;23,60054;73,29825; 0,69413345; 1,8472906;12,987013; 0,20152262;28,358710; 0,40304523;10,5015674;38,0206001; 4,35512763;0,23510972;56,71742;38,09897;53,72817;14,834304; 186;  7239;27,089377; 52,852604;17,488603;  67;  7595; 58,327847;20,763660; 7,3074391;12,718894; 100;  6565; 57,456207;19,177456;10,8453922;10,997715
01001000010; 85,786931;12,306128; 1,9069413; 97,60996695; 0,02542588;  2,3646072; 86,82939;12,331554; 0,33053649; 0,508517671;262,9545; 0,279684719; 98,24561; 1,7543860;263,2341724;  0,00000000;0,000000e+00; 13,780829; 0,000000000;  0,02542588;247,69895754; 0,635647089; 0,305110603;0,22883295; 0,076277651;0,203407068;100; 25,2987541; 9,6872616; 1,01703534;104,39867785;  2,16120010; 20,188152; 96,15861; 3,8413879; 98,36431; 0,7930607; 0,297397770;0,54522924;43,9405204;53,5315985; 0,2230483;  0,32218092; 0,17348203;0,421313507;0,000000000; 1,38785626; 88,82280;11,1771995; 98,76084; 0,81784387; 0,42131351; 98,6369269;  0,37174721; 0,000000000; 0,421313507; 0,570012392; 0,000000000; 98,71128; 1,28872367; 98,41388; 0,29739777; 98,5130112; 0,04956629; 0,148698885; 0,000000000; 96,43123; 2,28004957;94,2503098; 0,049566295;4,956629e-02;  2,45353160; 2,577447336; 0,198265180;0,421313507; 97,99257; 2,0074349;74,597274;25,40273; 87,50929;12,4659232;83,8413879; 16,158612;36,852540;12,589839;34,84511; 4,039653;10,4584882; 1,21437423;39,578686; 5,15489467;42,0074349; 4,2379182; 7,1623296; 1,8339529;46,369269;30,136307;12,639405; 7,286245; 2,428748; 0,8426270; 0,04956629;0,24783147;64,48621;2,7822431;20,180537; 9,768765;72,33832;17,892915; 0; 3,363423; 3,338692; 3,054285; 4,933844;10,758007;11,549400; 9,397799; 6,751577; 5,539755; 5,564486; 6,207494; 5,984914; 5,663410; 4,9462100; 4,1671819;3,1284778;2,85643626;1,85482874;0,655372821;49,99382;16,396686;19,21603;0,1978484; 1,1747249;1,3849388; 4,8967479; 3,1532089;0,259676023;45,88846;54,11154; 85,01298;14,98701620;95,83282; 1,990850;28,02028;68,95017; 0,84085569; 2,0032150;14,690244; 0,14838630;27,315445; 0,39569680; 9,5338197;37,4922715; 5,24298256;0,17311735;53,10993;41,69655;75,25658;19,228391; 239;  8096;27,161561; 51,272233;18,614130;  67;  8621; 57,116344;21,308433; 8,7228860;12,075165; 121;  7837; 55,927013;19,510017;12,4027051;10,616307
